# Lego2STL colour cross-reference. Generated from the Rebrickable API; do not hand-edit.
# Regenerate with: lego2stl refresh-colors
# C lines are colours. M lines are the reverse map: scheme;code;rebrickable_id.
C;rebrickable_id;name;rgb;is_trans;bricklink_id;lego_id;ldraw_id;part_count
C;1142;Dark Olive Green;#5D5C36;0;242;144;;11
C;1143;Glitter Milky White;#FFFFFF;0;;122;;4
C;1144;Chrome Red;#CE3021;0;;;;4
C;1145;Ochre Yellow;#DD9E47;0;173;424;;12
C;1146;Warm Pink;#F6B7BF;0;175;430;430;417
C;1147;Blue Violet;#A3A9FF;0;174;431;431;855
C;9999;[No Color/Any Color];#05131D;0;0;;;10660
M;BrickLink;0;9999
M;BrickLink;1;15
M;BrickLink;2;19
M;BrickLink;3;14
M;BrickLink;4;25
M;BrickLink;5;4
M;BrickLink;6;2
M;BrickLink;7;1
M;BrickLink;8;6
M;BrickLink;9;7
M;BrickLink;10;8
M;BrickLink;11;0
M;BrickLink;12;47
M;BrickLink;13;40
M;BrickLink;14;33
M;BrickLink;15;41
M;BrickLink;16;42
M;BrickLink;17;36
M;BrickLink;18;57
M;BrickLink;19;46
M;BrickLink;20;34
M;BrickLink;21;334
M;BrickLink;22;383
M;BrickLink;23;13
M;BrickLink;24;22
M;BrickLink;25;12
M;BrickLink;26;100
M;BrickLink;27;216
M;BrickLink;28;92
M;BrickLink;29;366
M;BrickLink;31;462
M;BrickLink;32;125
M;BrickLink;33;18
M;BrickLink;34;27
M;BrickLink;35;120
M;BrickLink;36;10
M;BrickLink;37;74
M;BrickLink;38;17
M;BrickLink;39;3
M;BrickLink;40;11
M;BrickLink;41;118
M;BrickLink;42;73
M;BrickLink;43;110
M;BrickLink;44;20
M;BrickLink;46;21
M;BrickLink;47;5
M;BrickLink;48;378
M;BrickLink;49;503
M;BrickLink;50;45
M;BrickLink;51;52
M;BrickLink;52;61
M;BrickLink;54;373
M;BrickLink;55;379
M;BrickLink;56;77
M;BrickLink;57;60
M;BrickLink;58;335
M;BrickLink;59;320
M;BrickLink;60;79
M;BrickLink;61;142
M;BrickLink;62;9
M;BrickLink;63;272
M;BrickLink;64;62
M;BrickLink;65;82
M;BrickLink;66;135
M;BrickLink;67;80
M;BrickLink;68;484
M;BrickLink;69;28
M;BrickLink;70;81
M;BrickLink;71;26
M;BrickLink;72;313
M;BrickLink;73;112
M;BrickLink;74;143
M;BrickLink;76;115
M;BrickLink;77;148
M;BrickLink;78;137
